id,target,split
36456788,,test
53804555,0.0,train
51982187,0.0,train
82087521,0.0,train
77381844,0.0,train
39567763,,test
3363147,,test
78758033,2.0,train
82044231,2.0,train
77021414,,test
48135433,2.0,train
36870014,0.0,train
12251196,0.0,train
39445276,0.0,train
30948018,0.0,train
28417357,0.0,train
9615957,0.0,train
43788060,4.0,train
79170222,4.0,train
15902754,,test
20507198,2.0,train
34669355,2.0,train
70635290,,test
84761249,2.0,train
86538162,2.0,train
84236709,2.0,train
7051618,2.0,train
75816078,2.0,train
82221437,2.0,train
33857299,,test
26195547,0.0,train
42691328,0.0,train
45522233,0.0,train
72649029,0.0,train
46733521,,test
83310365,0.0,train
58338977,0.0,train
68657289,0.0,train
62083282,0.0,train
45802805,0.0,train
56402159,0.0,train
11705811,0.0,train
45876822,0.0,train
79883163,0.0,train
8635439,0.0,train
27431131,0.0,train
3353593,0.0,train
84275592,0.0,train
67846515,,test
87880391,0.0,train
22279663,0.0,train
21724143,0.0,train
40079477,0.0,train
19524293,0.0,train
52623633,2.0,train
22036684,,test
23622765,2.0,train
45542593,,test
48801881,2.0,train
75511388,2.0,train
16883921,2.0,train
79530168,2.0,train
35349436,2.0,train
14701672,2.0,train
88111047,2.0,train
30520904,2.0,train
69743750,2.0,train
672702,2.0,train
55005876,2.0,train
15170571,2.0,train
37202840,2.0,train
35701068,,test
42745096,3.0,train
31680508,2.0,train
62217430,2.0,train
87304071,2.0,train
24638390,2.0,train
20812554,,test
18837989,2.0,train
83608110,2.0,train
75793324,2.0,train
29278279,,test
4034126,3.0,train
45405287,3.0,train
75571532,3.0,train
74837878,3.0,train
71900197,,test
61093815,2.0,train
86020462,2.0,train
74882820,2.0,train
74430695,,test
48614468,3.0,train
38904223,4.0,train
24111286,0.0,train
64609528,4.0,train
37747649,2.0,train
76870018,2.0,train
72990740,2.0,train
56433764,0.0,train
56241953,,test
72602046,,test
61608994,0.0,train
40014634,,test
36898695,,test
69771284,0.0,train
16436454,2.0,train
28763808,2.0,train
52130286,,test
50663297,2.0,train
79632676,2.0,train
72573911,2.0,train
47418632,4.0,train
21855353,2.0,train
64239608,2.0,train
44382420,,test
47054183,4.0,train
3477413,,test
35390183,2.0,train
40161268,2.0,train
46586801,2.0,train
66286284,2.0,train
44984180,2.0,train
83489862,2.0,train
4486513,,test
13990341,4.0,train
245386,2.0,train
86950875,4.0,train
46813278,0.0,train
45756941,2.0,train
21970486,0.0,train
48476615,0.0,train
74543793,0.0,train
62210193,2.0,train
29931897,3.0,train
35623607,2.0,train
12485192,0.0,train
44721389,0.0,train
23436812,2.0,train
952041,,test
56820626,,test
62670360,2.0,train
9568788,2.0,train
75972695,2.0,train
64446504,2.0,train
3298193,0.0,train
34350520,0.0,train
75678612,,test
29277849,0.0,train
52796336,0.0,train
9665657,,test
41747373,0.0,train
33240592,2.0,train
33151723,2.0,train
39892508,2.0,train
71127297,2.0,train
46471381,,test
1533083,0.0,train
53413684,2.0,train
27910908,2.0,train
66315177,2.0,train
55465120,,test
13116551,2.0,train
32554501,2.0,train
16448998,2.0,train
21125649,,test
47982734,2.0,train
39348797,,test
8811372,2.0,train
41939540,2.0,train
69325998,2.0,train
37393616,2.0,train
78137229,0.0,train
78399721,2.0,train
50967470,0.0,train
29096969,,test
17786772,2.0,train
53901912,2.0,train
15884945,2.0,train
72860650,2.0,train
38461356,2.0,train
70141387,2.0,train
48308965,2.0,train
73214514,2.0,train
83365566,,test
85480588,2.0,train
4940955,2.0,train
87807034,2.0,train
65326909,2.0,train
79188240,2.0,train
61017450,2.0,train
61124078,2.0,train
74625831,2.0,train
54127182,0.0,train
29770900,3.0,train
46859636,,test
44400814,,test
87056979,2.0,train
60124983,2.0,train
66853952,2.0,train
31768271,2.0,train
41657132,2.0,train
61873391,2.0,train
69929440,2.0,train
65176958,,test
30412383,2.0,train
28083794,2.0,train
37878459,,test
12719371,2.0,train
31052794,2.0,train
34089073,2.0,train
20999048,2.0,train
80716744,,test
52739974,2.0,train
40208267,,test
31622826,,test
84310871,2.0,train
21746861,,test
79862420,0.0,train
6460196,0.0,train
30819009,2.0,train
77322718,,test
69016444,0.0,train
56936897,,test
8219369,0.0,train
59115235,0.0,train
24874113,3.0,train
27835094,,test
75630608,0.0,train
24195153,0.0,train
1117357,0.0,train
15739281,0.0,train
17590561,0.0,train
10793971,2.0,train
51795379,2.0,train
23989604,,test
79500286,,test
19645093,2.0,train
1203375,2.0,train
27211732,,test
75857103,,test
79538458,2.0,train
84854818,2.0,train
31058407,2.0,train
76197782,2.0,train
85436602,2.0,train
43960596,2.0,train
76550145,2.0,train
28935582,2.0,train
9178980,,test
48992464,,test
69212204,2.0,train
65610684,2.0,train
9569348,,test
18740387,2.0,train
32891242,2.0,train
20859822,,test
47773920,2.0,train
36218400,2.0,train
33159027,2.0,train
86372329,2.0,train
78986511,2.0,train
58328067,0.0,train
4566583,0.0,train
13096456,2.0,train
54649764,2.0,train
51118224,2.0,train
31685146,2.0,train
50696560,0.0,train
69113018,0.0,train
78590927,4.0,train
85800068,4.0,train
48876205,,test
87330866,2.0,train
73170085,2.0,train
58754327,2.0,train
75402291,0.0,train
54314128,,test
26131101,0.0,train
85185483,2.0,train
56750153,3.0,train
70613239,0.0,train
33807760,2.0,train
25956648,2.0,train
48988688,,test
73307357,0.0,train
54265858,0.0,train
46536759,,test
84141407,0.0,train
71501310,2.0,train
23330648,2.0,train
12705999,2.0,train
60165047,2.0,train
11098670,2.0,train
11134119,0.0,train
1925984,,test
68410994,,test
24063632,,test
79847382,,test
21528138,2.0,train
22378763,2.0,train
28435855,,test
21630218,,test
71447680,2.0,train
9339363,2.0,train
13663167,,test
32036053,2.0,train
11145169,2.0,train
73847785,3.0,train
57939604,0.0,train
36199873,,test
9213774,0.0,train
36142380,,test
16637086,0.0,train
30021553,2.0,train
87051193,2.0,train
34973372,0.0,train
24340123,0.0,train
41182493,0.0,train
49625286,,test
53626682,2.0,train
3269676,2.0,train
19362973,2.0,train
78172976,,test
57934367,2.0,train
11297257,,test
74763505,2.0,train
64096493,,test
38950642,0.0,train
57000325,2.0,train
34953617,3.0,train
57448300,0.0,train
21680169,0.0,train
15141883,0.0,train
60424607,2.0,train
36696115,,test
27230255,2.0,train
52336119,,test
58968995,2.0,train
4294297,0.0,train
58682012,2.0,train
27814175,2.0,train
45703781,2.0,train
69906570,0.0,train
83281939,0.0,train
13753988,2.0,train
19833403,,test
14884383,,test
24104642,2.0,train
16615462,2.0,train
14966038,0.0,train
5207858,0.0,train
79298991,3.0,train
34891249,3.0,train
65480837,3.0,train
56885586,0.0,train
70813815,4.0,train
29426128,3.0,train
60848815,3.0,train
85728351,,test
54840438,,test
3819628,2.0,train
42775228,2.0,train
84373786,2.0,train
69574002,2.0,train
64399462,,test
79480307,2.0,train
58348991,,test
66409128,,test
37769222,3.0,train
47786497,2.0,train
81281429,0.0,train
17215303,,test
88159827,3.0,train
24063013,3.0,train
7745598,2.0,train
62044365,,test
62718557,2.0,train
26578605,,test
32959646,2.0,train
82885313,4.0,train
63010205,4.0,train
59014168,,test
47273491,4.0,train
1297344,,test
17129978,4.0,train
66299063,,test
19860255,4.0,train
72707100,4.0,train
55963555,4.0,train
37427714,4.0,train
16161519,4.0,train
83003062,4.0,train
33445159,4.0,train
35681007,4.0,train
23415769,4.0,train
54020486,4.0,train
30222674,4.0,train
70948758,4.0,train
77931893,4.0,train
34142664,4.0,train
12611787,,test
33415436,3.0,train
78662427,3.0,train
19601241,,test
22773465,0.0,train
21781001,4.0,train
20724547,,test
45789130,4.0,train
78240160,4.0,train
83131127,4.0,train
17850819,3.0,train
34775355,4.0,train
19865640,4.0,train
82827881,4.0,train
52383325,4.0,train
55826105,4.0,train
15584491,,test
6878005,4.0,train
52725823,4.0,train
85481549,4.0,train
69813859,4.0,train
63581374,4.0,train
83180008,4.0,train
53092521,4.0,train
30376405,4.0,train
85886662,4.0,train
12664296,,test
50349536,4.0,train
47470457,4.0,train
30302682,4.0,train
63220821,4.0,train
19255490,,test
15310206,4.0,train
23136142,4.0,train
74199735,,test
42251724,4.0,train
15464330,4.0,train
18835872,4.0,train
18413693,4.0,train
42139571,4.0,train
23887877,4.0,train
29306901,4.0,train
78287534,4.0,train
30806752,4.0,train
87270339,4.0,train
14693091,4.0,train
29504051,4.0,train
46537019,4.0,train
54228754,4.0,train
50765759,4.0,train
30914216,4.0,train
2635282,4.0,train
12781670,4.0,train
46998528,4.0,train
51450444,4.0,train
2034693,,test
7310464,4.0,train
6711906,4.0,train
88448870,4.0,train
36723033,,test
26573567,4.0,train
33482512,,test
49276728,4.0,train
35682720,,test
56796146,4.0,train
85661109,4.0,train
41187524,4.0,train
66014383,4.0,train
5683552,4.0,train
69945355,,test
26229114,4.0,train
14096530,,test
27375110,4.0,train
10990471,,test
11176033,4.0,train
41400737,4.0,train
40726473,,test
25701387,4.0,train
38159707,,test
50565030,4.0,train
39822717,4.0,train
82638831,4.0,train
5150631,4.0,train
15741049,4.0,train
21421372,4.0,train
70075360,4.0,train
50046711,4.0,train
76899886,4.0,train
472344,4.0,train
48132126,4.0,train
3895666,4.0,train
54366556,4.0,train
80545103,4.0,train
17977937,,test
42004371,4.0,train
47643181,4.0,train
40738348,4.0,train
26646584,,test
22095414,,test
83330918,4.0,train
76707574,4.0,train
64242591,4.0,train
32267683,4.0,train
11835113,4.0,train
78633919,4.0,train
15564110,4.0,train
68270369,4.0,train
80849739,4.0,train
50770917,4.0,train
81839422,4.0,train
77470784,4.0,train
26675282,4.0,train
86646140,4.0,train
39644463,4.0,train
79381647,4.0,train
9267210,4.0,train
30829145,4.0,train
8415661,4.0,train
54752040,,test
7532860,4.0,train
45764811,,test
14737958,4.0,train
80731223,4.0,train
42936697,4.0,train
2550890,4.0,train
85467504,,test
61863180,4.0,train
57272521,,test
47013671,4.0,train
38461217,,test
56058372,4.0,train
24195746,,test
84004926,,test
43974842,4.0,train
50656125,4.0,train
48144503,4.0,train
3964385,4.0,train
13508191,4.0,train
27071766,4.0,train
63968914,,test
64652704,4.0,train
36398507,4.0,train
81810093,4.0,train
87369983,4.0,train
12018356,,test
70942637,4.0,train
45520857,4.0,train
67375370,4.0,train
5668729,4.0,train
44065640,4.0,train
85723910,4.0,train
87363098,,test
60793108,4.0,train
14220125,4.0,train
8157223,4.0,train
8426511,4.0,train
23308681,4.0,train
39421909,,test
4890311,4.0,train
25791100,,test
6013041,4.0,train
58854427,4.0,train
39096671,4.0,train
76922078,4.0,train
15278360,4.0,train
66243459,4.0,train
73868577,4.0,train
24046569,4.0,train
6267879,4.0,train
40921121,4.0,train
67643104,,test
59068704,,test
48372955,4.0,train
41042960,4.0,train
8934410,4.0,train
67304059,4.0,train
60680921,4.0,train
81782643,4.0,train
68044471,4.0,train
41450941,4.0,train
63833029,4.0,train
77163143,,test
57766574,4.0,train
40982630,4.0,train
42830658,4.0,train
19486665,4.0,train
32172862,4.0,train
22562445,4.0,train
46745594,4.0,train
15851436,4.0,train
63980175,4.0,train
55074170,4.0,train
49325563,4.0,train
62228496,4.0,train
45812508,4.0,train
13128238,4.0,train
54208722,,test
75255522,4.0,train
86540012,4.0,train
41149975,4.0,train
47936343,4.0,train
72613356,4.0,train
64981318,,test
66103715,4.0,train
46575489,4.0,train
49466743,,test
8758437,,test
50200535,,test
53223838,,test
20665227,4.0,train
49194628,4.0,train
76897425,4.0,train
84152773,4.0,train
75603086,4.0,train
77167413,4.0,train
69992075,,test
49172188,4.0,train
39882320,,test
71899642,4.0,train
23682425,4.0,train
86628754,4.0,train
41627693,,test
26439699,4.0,train
66338386,,test
66127930,4.0,train
25550085,,test
29930258,4.0,train
22656483,4.0,train
39755254,,test
76713666,4.0,train
46180156,4.0,train
79746357,,test
63451913,,test
70380439,4.0,train
68776325,4.0,train
70521320,4.0,train
10902943,4.0,train
21343990,4.0,train
13132728,4.0,train
13579251,4.0,train
60824336,4.0,train
73409871,4.0,train
65449998,,test
47750601,4.0,train
5072808,4.0,train
42599128,4.0,train
35051221,4.0,train
1099360,4.0,train
14425329,4.0,train
54499023,4.0,train
2276271,,test
36921868,4.0,train
20240874,4.0,train
41856134,4.0,train
25270407,,test
5425174,4.0,train
20339835,4.0,train
37830760,,test
86999945,4.0,train
38948255,4.0,train
42582237,4.0,train
23592892,4.0,train
60471254,4.0,train
42396850,4.0,train
4137906,,test
46567845,4.0,train
15488193,,test
28914581,4.0,train
36318317,4.0,train
53624988,,test
84141820,4.0,train
51821284,,test
30305173,4.0,train
78483620,4.0,train
56529546,4.0,train
12139945,,test
70992395,4.0,train
37825436,,test
47109135,4.0,train
10369361,4.0,train
83719077,4.0,train
3474451,,test
77591992,4.0,train
42588312,4.0,train
25409099,4.0,train
24426900,4.0,train
25758704,4.0,train
87015903,,test
6168359,,test
2297898,,test
39756491,4.0,train
16729710,0.0,train
52279985,4.0,train
23987514,4.0,train
24290365,4.0,train
15827777,4.0,train
20248085,,test
77365635,,test
79074530,4.0,train
58257057,4.0,train
65163062,4.0,train
61998557,4.0,train
90996,4.0,train
69412003,,test
74678804,4.0,train
31810806,3.0,train
1066631,4.0,train
25623216,4.0,train
55904104,4.0,train
38380428,4.0,train
58222601,4.0,train
55461949,4.0,train
3752562,,test
46166067,4.0,train
936330,4.0,train
25865130,4.0,train
79775309,4.0,train
25187625,,test
5034868,4.0,train
68820642,4.0,train
48337995,,test
10596279,4.0,train
5647459,4.0,train
65174131,4.0,train
49902297,,test
20864599,4.0,train
30457316,4.0,train
63257706,4.0,train
28826333,4.0,train
53230963,4.0,train
17465932,4.0,train
29982106,4.0,train
59261322,4.0,train
18633889,3.0,train
32439089,,test
45570358,4.0,train
2446053,4.0,train
82332935,,test
75533157,4.0,train
86551095,4.0,train
38385896,4.0,train
15904331,4.0,train
42022599,,test
38920270,,test
62510190,4.0,train
2367602,4.0,train
3560320,4.0,train
74566963,4.0,train
24118639,0.0,train
22060482,4.0,train
30882885,4.0,train
64508138,4.0,train
43166780,4.0,train
57869998,4.0,train
22287298,4.0,train
65698394,4.0,train
50770023,4.0,train
15722391,,test
69775674,4.0,train
23340230,4.0,train
63645720,4.0,train
60441071,4.0,train
52796810,4.0,train
14449830,4.0,train
30609499,4.0,train
55397143,,test
28728624,4.0,train
23234996,4.0,train
58244050,4.0,train
28431734,4.0,train
14557893,4.0,train
61854611,4.0,train
15121651,,test
77482144,,test
26679018,4.0,train
23474652,4.0,train
30226547,4.0,train
34052411,,test
16108188,4.0,train
38098722,4.0,train
5062895,4.0,train
56747646,4.0,train
4288248,4.0,train
85338503,3.0,train
59445553,4.0,train
69782115,4.0,train
81041804,,test
58378999,,test
80025588,3.0,train
5792787,4.0,train
63718828,4.0,train
83679399,4.0,train
35088738,,test
16171531,4.0,train
62021634,,test
16652191,,test
25524009,,test
56283709,4.0,train
85312905,4.0,train
63678280,4.0,train
61640198,4.0,train
18798285,,test
24320109,,test
77110749,4.0,train
40376972,4.0,train
751665,4.0,train
88400007,4.0,train
26649178,,test
53682812,4.0,train
52680634,4.0,train
85254497,4.0,train
74819623,4.0,train
39375579,4.0,train
10449920,3.0,train
81802956,4.0,train
27040784,,test
82782668,4.0,train
409715,4.0,train
3199142,4.0,train
45528086,4.0,train
59666726,4.0,train
12601894,4.0,train
72913568,4.0,train
75735337,,test
61406968,,test
79318671,,test
26150643,,test
69272117,4.0,train
12516858,2.0,train
13637041,2.0,train
48585850,,test
78730599,4.0,train
50010150,,test
47588880,4.0,train
55787199,,test
74318478,4.0,train
48966632,3.0,train
43134417,4.0,train
23148833,,test
28563867,,test
49616410,,test
79240087,,test
79640251,4.0,train
44882013,3.0,train
46049342,4.0,train
29076782,4.0,train
79045698,4.0,train
18822899,,test
56543885,4.0,train
55476773,4.0,train
54083727,4.0,train
52204788,4.0,train
83812221,4.0,train
5296105,,test
21016588,,test
61497213,4.0,train
17228872,4.0,train
21055191,4.0,train
54818076,3.0,train
18828865,4.0,train
39476306,4.0,train
16153756,4.0,train
10333437,4.0,train
76274280,,test
86682607,4.0,train
10801128,2.0,train
43957436,,test
12064660,,test
66054838,2.0,train
27169721,2.0,train
43729030,2.0,train
24075137,2.0,train
20797922,4.0,train
40429540,4.0,train
23352710,4.0,train
53234235,3.0,train
48465053,,test
22096667,3.0,train
72743483,,test
1426225,4.0,train
72221567,4.0,train
74659658,4.0,train
14154818,4.0,train
33313971,4.0,train
52970045,4.0,train
56338450,4.0,train
4494421,4.0,train
23005084,4.0,train
61788045,4.0,train
5909917,4.0,train
21595846,4.0,train
2664646,4.0,train
42521112,4.0,train
60366477,4.0,train
76596923,4.0,train
81276058,4.0,train
81551861,4.0,train
21496760,4.0,train
32600880,4.0,train
77081363,4.0,train
84287059,0.0,train
57158126,4.0,train
27781413,4.0,train
62110604,,test
51562805,4.0,train
83414190,4.0,train
21927649,2.0,train
85216538,2.0,train
26000567,4.0,train
5659811,4.0,train
13886565,4.0,train
21247186,4.0,train
42095098,4.0,train
11555247,4.0,train
14617682,4.0,train
18921491,2.0,train
44795051,4.0,train
37996795,4.0,train
60867116,4.0,train
80526210,,test
37691894,4.0,train
73864486,4.0,train
14007893,4.0,train
73381656,,test
39330548,,test
41860976,4.0,train
7309801,4.0,train
36523574,4.0,train
43247001,4.0,train
30677972,4.0,train
18987047,4.0,train
32401269,4.0,train
36066698,,test
78754193,4.0,train
82004619,4.0,train
19370523,4.0,train
38403247,4.0,train
14311304,4.0,train
77635550,4.0,train
66266551,4.0,train
53613941,4.0,train
1418575,4.0,train
28149665,,test
9902945,4.0,train
60037035,4.0,train
11375242,,test
75442200,4.0,train
14165682,4.0,train
60778597,,test
2193438,4.0,train
55765610,4.0,train
59506239,4.0,train
15728650,4.0,train
60839091,4.0,train
56256896,4.0,train
41119890,4.0,train
20391923,4.0,train
52585541,,test
73464826,4.0,train
55162321,4.0,train
79135891,4.0,train
76064356,4.0,train
10893138,4.0,train
43306081,4.0,train
43856460,4.0,train
59224509,4.0,train
77562943,,test
36621911,4.0,train
35552225,4.0,train
22206618,4.0,train
45309307,4.0,train
26577290,0.0,train
46760141,,test
73554198,,test
69275209,3.0,train
79940143,2.0,train
69736972,,test
53083336,4.0,train
41311167,,test
20425944,4.0,train
62202875,4.0,train
15169203,4.0,train
26062049,,test
40336231,4.0,train
74884032,3.0,train
31745757,4.0,train
79804399,4.0,train
65247517,4.0,train
3841250,,test
50318824,,test
60218882,3.0,train
10695891,,test
53057915,,test
62093881,4.0,train
2541054,4.0,train
40834887,4.0,train
55204836,,test
25577830,4.0,train
39478915,4.0,train
47759069,,test
84063723,4.0,train
33056836,4.0,train
17567901,4.0,train
81940618,4.0,train
85288274,,test
19455541,,test
3689537,4.0,train
46089669,4.0,train
61383535,4.0,train
62978916,4.0,train
15195893,4.0,train
32552131,4.0,train
37916250,4.0,train
63566941,4.0,train
73960871,4.0,train
52247580,0.0,train
18155554,4.0,train
78821840,,test
35164834,4.0,train
59345182,4.0,train
12272471,4.0,train
31516378,4.0,train
66107607,,test
78852336,4.0,train
83505729,,test
74690411,4.0,train
22743477,4.0,train
4045349,3.0,train
33995220,4.0,train
24043717,4.0,train
33512387,4.0,train
84872688,3.0,train
50865559,,test
10710750,4.0,train
75451798,4.0,train
41436857,4.0,train
72629899,4.0,train
6680891,4.0,train
49333337,,test
52542826,4.0,train
35762117,,test
39050044,,test
55120503,4.0,train
38919561,4.0,train
62970481,4.0,train
82659112,4.0,train
56969964,4.0,train
25668628,,test
14124190,4.0,train
65275419,4.0,train
21879313,4.0,train
6534395,,test
445360,4.0,train
18540489,4.0,train
57533990,,test
12923143,4.0,train
80615351,4.0,train
74626614,4.0,train
80531295,4.0,train
63930131,4.0,train
51953469,,test
60448642,4.0,train
21937081,4.0,train
42581965,4.0,train
18056633,,test
73411578,4.0,train
62608089,,test
15774610,4.0,train
44648753,4.0,train
2553020,4.0,train
73068028,,test
949906,4.0,train
21982093,,test
72798969,4.0,train
53838427,4.0,train
58941622,,test
76700064,4.0,train
22173129,4.0,train
31088430,4.0,train
38161568,4.0,train
18226571,4.0,train
9945500,4.0,train
72848045,4.0,train
23884094,4.0,train
70644968,4.0,train
19153301,4.0,train
78349487,4.0,train
62329597,4.0,train
42359811,4.0,train
10243876,3.0,train
14827679,4.0,train
4088701,,test
27758150,3.0,train
22246754,3.0,train
42416838,3.0,train
35387982,4.0,train
58827916,4.0,train
13736573,4.0,train
79876766,4.0,train
9767824,,test
64362695,,test
77327916,2.0,train
36864278,2.0,train
45007893,4.0,train
24661623,3.0,train
61809208,3.0,train
7809602,4.0,train
45136312,4.0,train
27474878,4.0,train
50447963,3.0,train
49946960,2.0,train
8185879,2.0,train
30856032,4.0,train
24548172,,test
51401421,4.0,train
8493697,,test
76849822,4.0,train
16108046,4.0,train
29515579,4.0,train
46757355,4.0,train
82831828,,test
50138962,,test
19512960,4.0,train
45204190,4.0,train
59336551,4.0,train
71863899,3.0,train
55384387,,test
37167884,3.0,train
37873943,2.0,train
76802080,4.0,train
42567294,4.0,train
60148479,,test
1844418,4.0,train
7809160,4.0,train
41140878,4.0,train
66327944,,test
10516104,,test
131814,4.0,train
84669815,4.0,train
66321524,4.0,train
87281966,4.0,train
4163648,4.0,train
51270574,2.0,train
67402837,,test
85446552,2.0,train
15385743,2.0,train
82313909,2.0,train
68560288,2.0,train
21322627,2.0,train
5495162,2.0,train
83653446,4.0,train
62122999,3.0,train
46289717,3.0,train
58375597,3.0,train
52523853,2.0,train
85416515,2.0,train
53394713,2.0,train
6717053,2.0,train
61587743,3.0,train
52301879,,test
30014062,,test
83717123,4.0,train
29392336,3.0,train
61270785,3.0,train
80811436,4.0,train
76078253,3.0,train
34129543,4.0,train
5956825,4.0,train
51742323,4.0,train
38521712,4.0,train
46010268,4.0,train
79889052,4.0,train
4395783,4.0,train
6091142,4.0,train
16205306,4.0,train
70962244,4.0,train
17739045,4.0,train
17036563,4.0,train
61152773,0.0,train
37866182,4.0,train
65899070,4.0,train
8512679,4.0,train
32763891,4.0,train
3417380,4.0,train
22279515,4.0,train
48822073,4.0,train
31125390,,test
88454545,4.0,train
18490362,4.0,train
31822656,4.0,train
64857451,,test
5170603,4.0,train
53360812,2.0,train
47622602,,test
46462626,2.0,train
83621896,2.0,train
56645588,2.0,train
82199689,4.0,train
45672074,4.0,train
4383296,4.0,train
13826334,4.0,train
87384264,4.0,train
61940903,4.0,train
24001456,4.0,train
83771195,4.0,train
75599000,4.0,train
64063707,4.0,train
40921073,4.0,train
42042334,4.0,train
67575936,4.0,train
9133220,0.0,train
58524449,0.0,train
1436512,4.0,train
55978223,,test
46169968,4.0,train
72802155,4.0,train
86625657,4.0,train
33296277,3.0,train
8760451,0.0,train
67410563,,test
14832342,2.0,train
62580988,2.0,train
19550392,2.0,train
60551928,2.0,train
20532743,2.0,train
54921036,2.0,train
12310361,2.0,train
1500265,2.0,train
29349607,,test
80947607,2.0,train
53725437,2.0,train
27248536,,test
72948993,2.0,train
69945182,,test
44385124,,test
68769919,2.0,train
69363547,2.0,train
39820578,2.0,train
68283191,2.0,train
48311012,,test
43930675,2.0,train
20148274,4.0,train
20122698,4.0,train
62505412,4.0,train
88009516,4.0,train
3139443,,test
63326643,0.0,train
6110537,4.0,train
45875875,4.0,train
57889138,4.0,train
26718805,4.0,train
87325591,4.0,train
49402628,3.0,train
12672524,3.0,train
73394755,3.0,train
86666745,4.0,train
56370815,0.0,train
49819910,4.0,train
80638177,4.0,train
83139574,3.0,train
17359621,4.0,train
22958896,4.0,train
40829237,,test
59088541,,test
14328619,4.0,train
21126961,,test
41345178,4.0,train
62227245,4.0,train
38406446,,test
20056020,,test
17019833,2.0,train
39069342,,test
61812611,2.0,train
62729760,4.0,train
43829149,4.0,train
64498094,4.0,train
11455037,4.0,train
72079373,4.0,train
64062173,4.0,train
88348849,,test
67587744,4.0,train
50417319,4.0,train
29008123,4.0,train
52599646,4.0,train
30738228,4.0,train
2047206,4.0,train
4876575,,test
4962343,4.0,train
49606355,4.0,train
37989043,,test
31588123,,test
23789034,4.0,train
34538918,3.0,train
81042771,4.0,train
3919396,4.0,train
66749165,2.0,train
46496388,4.0,train
39347370,4.0,train
26073127,4.0,train
71232123,4.0,train
85136532,4.0,train
69985614,,test
58884924,4.0,train
50927145,4.0,train
11925620,0.0,train
85598219,,test
76942328,4.0,train
67980039,4.0,train
29829247,4.0,train
79432572,4.0,train
991527,4.0,train
71781193,4.0,train
23077018,4.0,train
82347509,3.0,train
52413297,4.0,train
811552,4.0,train
47806565,4.0,train
7518831,,test
1099608,3.0,train
47112999,0.0,train
68312168,2.0,train
83283247,0.0,train
80454195,,test
34572248,4.0,train
9202619,,test
5275289,4.0,train
87185691,,test
30939205,4.0,train
87060060,,test
24681526,4.0,train
10746381,,test
31428266,4.0,train
40625985,,test
680979,4.0,train
68740824,4.0,train
33614355,4.0,train
52405829,,test
52146688,4.0,train
50045902,4.0,train
54034203,,test
67613374,4.0,train
87456963,4.0,train
51422974,4.0,train
69703219,4.0,train
66507640,4.0,train
66822551,4.0,train
54948851,4.0,train
46659609,,test
34885092,4.0,train
51408075,4.0,train
633204,,test
53252146,4.0,train
32748217,,test
51856830,,test
72773421,2.0,train
83916704,4.0,train
8952550,,test
37023977,,test
1876850,4.0,train
24094475,4.0,train
